Tweet_ID,Created_At,Location_Mentioned,Text_Final,Lemas,sentimiento
c3c923bab9a5006041fee2df8da9a2173b2de335f62342eebe05f0208c97e6c1,2024-07-22,Quito,se fue la luz se dañó panel electrónico del elevador ac luma nos está destruyendo cobrando por hacerlo somos muchos los afectados desquite va,"['luz', 'danar', 'panel', 'electronico', 'elevador', 'luma', 'destruir', 'cobrar', 'hacerlo', 'afectado', 'desquite']",0
23cf0973031f6388a6bacb5306160f57e5f23cbdbb597cdb6726ca6e459aa3e5,2024-12-01,Azuay,no quiero arrecharme pero estos hdp corpoelec quitan la luz hoy hay agua se puede lavar cdo hay electricidad no hay agua cdo hay agua no hay electricidad pónganse acuerdo nojodas tenía desahogarme disculpen sigan lo suyo,"['querer', 'arrecharme', 'hdp', 'corpoelec', 'quitar', 'luz', 'hoy', 'agua', 'poder', 'lavar', 'cdo', 'electricidad', 'agua', 'cdo', 'agua', 'electricidad', 'ponganse', 'acuerdo', 'nojoda', 'desahogarme', 'disculpar', 'seguir']",0
33da3cb8621b2ce82a4eb6441dfabf4a059ddde7348fadebdb78a4b11370728a,2024-10-15,Guayaquil,dos días del apagón masivo que dejó medio archipiélago oscuras ciudadanos reclamaron esta tarde la salida luma energy genera pr los dos operadores privados del sistema eléctrico entonando consignas como con luma patraña los enseres se me dañan,"['dos', 'dia', 'apagon', 'masivo', 'dejar', 'medio', 'archipielago', 'oscuro', 'ciudadano', 'reclamar', 'tarde', 'salida', 'luma', 'energy', 'generar', 'dos', 'operador', 'privado', 'sistema', 'electrico', 'entonando', 'consigna', 'luma', 'patrana', 'enseres', 'danar']",0
8ab477a732bec3995a5342dff816b1e903fa41de8e5a491b1278430194904c74,2024-05-14,Guayaquil,esta hora hay más personas afectadas por otro apagón debido la incapacidad luma genera no saben pueden administrar sistema eléctrico hasta cuando,"['hora', 'persona', 'afectado', 'apagon', 'deber', 'incapacidad', 'luma', 'generar', 'saber', 'poder', 'administrar', 'sistema', 'electrico']",0
5706da14ade897778baf2a682d451db10fb47965b75d01dc4da1104536c641ec,2024-10-05,Quito,la ideología arruina red eléctrica ordena por segundo día consecutivo la paralización la gran industria ante la falta electricidad,"['ideologia', 'arruinar', 'red', 'electrico', 'ordenar', 'segundo', 'dia', 'consecutivo', 'paralizacion', 'gran', 'industria', 'falta', 'electricidad']",0
f01fa14262c37dd3f6b314867d92a0759220176a4cd9439076076f9befabf756,2024-11-05,Quito,buenos días bendito domingo está hora van horas continuas con electricidad zona gracias dios todo indica que problema sido resuelto,"['buen', 'dia', 'bendito', 'domingo', 'hora', 'hora', 'continuo', 'electricidad', 'zona', 'gracia', 'dio', 'indicar', 'problema', 'ser', 'resolver']",0
cc647b852b5c56995f390ea7bc14c4d86aac06e9f53a8b9cd628e63ec5b6a1aa,2024-10-13,Quito,así compleja la situación se habría perdido control del sistema distribución nacional electricidad se habla reducir riesgo del colapso continuidad del servicio eléctrico piden desde cenace racionamientos inmediatos horas se,"['asi', 'complejo', 'situacion', 'perder', 'control', 'sistema', 'distribucion', 'nacional', 'electricidad', 'hablar', 'reducir', 'riesgo', 'colapso', 'continuidad', 'servicio', 'electrico', 'pedir', 'cenace', 'racionamiento', 'inmediato', 'hora']",1
21c55d705f4021a80611c7aad4d3780ad25e408e30d20de09b5183463ebb0503,2024-09-16,Guayaquil,problemón eléctrico que desde ayer estamos sufriendo todo monteclaro zonas adyacentes terrible explotaron unos transformadores aquí estamos pm oscuras totalmente,"['problemon', 'electrico', 'ayer', 'sufrir', 'monteclaro', 'zona', 'adyacente', 'terrible', 'explotaron', 'transformador', 'aqui', 'oscuro', 'totalmente']",0
6b803d60af63600a0ecb1ffe8ce43ab1152908b0b883de865e80a9bff48e8c34,2024-05-16,Quito,vivimos un país donde unos burócratas incompetentes corruptos que están desde correismo manejando sector eléctrico cortan la luz sin previo aviso nunca dieron mantenimiento los equipos termo eléctricos deben ser removidos por sus negligencias culposas dolosas,"['vivir', 'pais', 'burocrata', 'incompetente', 'corrupto', 'correismo', 'manejando', 'sector', 'electrico', 'cortar', 'luz', 'previo', 'aviso', 'nunca', 'dar', 'mantenimiento', 'equipo', 'termo', 'electrico', 'deber', 'ser', 'removido', 'negligencia', 'culposo', 'dolosa']",0
dc7ac6900c1bb913ecdb241757073118ca3aea8c3ef4f7e97d6ab776719211e1,2024-06-10,Quito,vergüenza les informo que las gradas eléctricas no funcionan tienen varios días no funcionar nada que celebrar,"['verguenza', 'informo', 'grada', 'electrico', 'funcionar', 'varios', 'dia', 'funcionar', 'nada', 'celebrar']",0
46a5b191e3ffe674f58f498e8d28db2152983a3592e12e3a66cd213fead261c8,2024-11-25,Guayaquil,los que le dieron voto al muñeco incompetente tienen todo derecho sacarlo patadas ahora son horas sin luz esto lleva al país la recesión no habrá crecimiento económico empleo tampoco inversión,"['dar', 'voto', 'muneco', 'incompetente', 'derecho', 'sacarlo', 'patada', 'ahora', 'hora', 'luz', 'llevar', 'pais', 'recesion', 'crecimiento', 'economico', 'empleo', 'tampoco', 'inversion']",0
